,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio
Random Forest Strategy,0.62081399,0.085702717,0.206475731,0.49490523,0.222763358,0.384726058
CSI 500 Benchmark,0.000668525,0.000115357,0.188895702,0.093535423,0.399912854,0.000288456
